ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
238	铜钱会恶棍			2	0	28	1	1	0	120	0	950	45	5	1	1		0	5911360	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	238	1	18464	3690	18782	9399	28	1	42		1	1024	32	10	1017	11	416		1	1024	32	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4601	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
239	铜钱会恶棍			2	0	28	1	1	0	120		950	45	5	1	1		0	5911640	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	239	1	18464	3690	18782	9399	28	1	42		1	1024	32	10	1017	11	412		1	1024	32	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4602	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
241	地鼠门小厮			2	0	28	1	1	0	120		950	45	5	1	1		0	5912480	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	241	1	18464	3690	14319	7152	28	1	25		1	1024	15	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4603	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
243	万花白棋仆			2	0	28	1	1	0	120	0	950	45	5	1	1		0	6371400	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	243	1	17659	3539	15655	7820	28	1	35		1	1024	25	10	1007	12	320		2	1024	25	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4604	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
244	万花黑棋仆			2	0	28	1	1	0	120	0	950	45	5	1	1		0	6371400	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	244	1	14485	2900	14319	7152	28	1	30		1	1024	20	10	1000	12	144		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	4605	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
245	天峰营执戟枪兵			2	0	28	1	1	0	121	0	950	45	5	1	1		0	6366080	0	0	13951	0	0	100	6	22	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	245	1	18661	3736	17765	8883	28	1	39		1	1024	29	10	1025	12	64		1	512	32	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4606	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	277	951	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
246	天峰营蒙首刀兵			2	0	28	1	1	0	120	0	950	45	5	1	1		0	6371680	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	246	1	11039	2217	17446	8716	28	1	39		1	1024	29	10	1009	14	64		1	512	32	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4607	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
247	天峰营飞羽射手			2	0	28	1	1	0	121		950	45	4	1	1		0	2048480	0	0	6976	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	247	1	3842	775	14485	2900	28	1	35		1	1024	25	10	5120	4			8		20	10	1010	8	160		8	1024	20	10	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4608	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	6	59	326	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
249	纯阳气宗弟子			2	0	28	1	1	0	120		950	45	5	1	1		0	5092920	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	249	1	17948	3584	15199	7608	28	1	34		1	1024	24	10	1011	9	112		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4609	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
251	纯阳剑宗弟子			2	0	28	1	1	0	120	0	950	45	5	1	1		0	5729360	0	0	13689	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	251	1	23656	4723	15655	7820	28	1	35		1	1024	25	10	1012	8	80		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	999999	0	20		0		0		0		0	4610	0	0	0	0	0	0	0	0	0	1	0	0	0	天子峰	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1		0	0	1.00	0	0	7	58	947	60									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1																				
